# x  FES
-1.300000000000000044e+00 9.683095213949222568e+00
-1.277000000000000135e+00 9.346718650354686631e+00
-1.254000000000000004e+00 9.007039431337615198e+00
-1.231000000000000094e+00 8.664114865749532157e+00
-1.207999999999999963e+00 8.317808041551991494e+00
-1.185000000000000053e+00 7.967815494816404609e+00
-1.161999999999999922e+00 7.613716795664592141e+00
-1.139000000000000012e+00 7.255047401986189470e+00
-1.116000000000000103e+00 6.891391732855232988e+00
-1.092999999999999972e+00 6.522487976257036024e+00
-1.070000000000000062e+00 6.148331257744647615e+00
-1.047000000000000153e+00 5.769259528979541862e+00
-1.024000000000000021e+00 5.386008454427294367e+00
-1.001000000000000112e+00 4.999727658779985262e+00
-9.779999999999999805e-01 4.611958994379403265e+00
-9.550000000000000711e-01 4.224584981059686939e+00
-9.320000000000000506e-01 3.839759771794252430e+00
-9.090000000000000302e-01 3.459835139120947645e+00
-8.860000000000001208e-01 3.087291051615959958e+00
-8.629999999999999893e-01 2.724676254096316086e+00
-8.400000000000000799e-01 2.374560504477552847e+00
-8.170000000000000595e-01 2.039497601296222928e+00
-7.940000000000000391e-01 1.721997146981200544e+00
-7.710000000000000187e-01 1.424502788128689579e+00
-7.479999999999999982e-01 1.149375009067412634e+00
-7.250000000000000888e-01 8.988770745536602824e-01
-7.020000000000000684e-01 6.751632136445897547e-01
-6.790000000000000480e-01 4.802685236844985717e-01
-6.560000000000000275e-01 3.161003387919043561e-01
-6.330000000000000071e-01 1.844309718791417030e-01
-6.100000000000000977e-01 8.689183096059882594e-02
-5.870000000000000773e-01 2.496895239383878362e-02
-5.640000000000000568e-01 0.000000000000000000e+00
-5.410000000000000364e-01 1.317275442300003263e-02
-5.180000000000000160e-01 6.552505598166336043e-02
-4.950000000000001066e-01 1.579460472060103537e-01
-4.720000000000000862e-01 2.911783454388918724e-01
-4.490000000000000657e-01 4.658203732753853910e-01
-4.260000000000000453e-01 6.823273039699826459e-01
-4.030000000000000249e-01 9.410075616469533166e-01
-3.800000000000001155e-01 1.242008748264535667e+00
-3.570000000000000950e-01 1.585280520950459016e+00
-3.340000000000000746e-01 1.970488567970649862e+00
-3.110000000000000542e-01 2.396825374995445568e+00
-2.880000000000000338e-01 2.862603278935534235e+00
-2.650000000000001243e-01 3.364392873275596330e+00
-2.419999999999999929e-01 3.895250122867089271e+00
-2.190000000000000835e-01 4.441327514090011697e+00
-1.959999999999999520e-01 4.976558574994159656e+00
-1.730000000000000426e-01 5.458478844743521741e+00
-1.500000000000001332e-01 5.836272690907440719e+00
-1.270000000000000018e-01 6.079735045426094331e+00
-1.040000000000000924e-01 6.202867073391546526e+00
-8.099999999999996092e-02 6.247902770764072855e+00
-5.800000000000005151e-02 6.254172713957443008e+00
-3.500000000000014211e-02 6.245749139313730325e+00
-1.200000000000001066e-02 6.234179073872784471e+00
1.099999999999989875e-02 6.223829863767369019e+00
3.400000000000003020e-02 6.215435468901398863e+00
5.699999999999993960e-02 6.207875297816679350e+00
7.999999999999984901e-02 6.198963535885827270e+00
1.029999999999999805e-01 6.185806036715641554e+00
1.259999999999998899e-01 6.165034325021098383e+00
1.490000000000000213e-01 6.133077805773840652e+00
1.719999999999999307e-01 6.086541696875116259e+00
1.949999999999998401e-01 6.022675756944201098e+00
2.179999999999999716e-01 5.939839799400817633e+00
2.409999999999998810e-01 5.837826047771407900e+00
2.640000000000000124e-01 5.717923785506424217e+00
2.869999999999999218e-01 5.582707005837141523e+00
3.099999999999998312e-01 5.435633522556257091e+00
3.329999999999999627e-01 5.280596634147229018e+00
3.559999999999998721e-01 5.121548533877972709e+00
3.790000000000000036e-01 4.962252027327143544e+00
4.019999999999999130e-01 4.806158981496878368e+00
4.249999999999998224e-01 4.656382886082830908e+00
4.479999999999999538e-01 4.515727108168242410e+00
4.709999999999998632e-01 4.386738147359550588e+00
4.939999999999999947e-01 4.271764324928582823e+00
5.169999999999999041e-01 4.173009700372023900e+00
5.399999999999998135e-01 4.092579216952633381e+00
5.629999999999999449e-01 4.032514544593226447e+00
5.859999999999998543e-01 3.994821700040711576e+00
6.089999999999999858e-01 3.981492064538848297e+00
6.319999999999998952e-01 3.994518423929400708e+00
6.550000000000000266e-01 4.035907440302702653e+00
6.779999999999999361e-01 4.107689692310753315e+00
7.009999999999998455e-01 4.211928167566638237e+00
7.239999999999999769e-01 4.350725881726849487e+00
7.470000000000001084e-01 4.526233138430681535e+00
7.699999999999997957e-01 4.740654826383517317e+00
7.929999999999999272e-01 4.996258065990360819e+00
8.160000000000000586e-01 5.295380459867634393e+00
8.389999999999997460e-01 5.640439162475888502e+00
8.619999999999998774e-01 6.033940958782665120e+00
8.850000000000000089e-01 6.478493526432172800e+00
9.080000000000001403e-01 6.976818047618515095e+00
9.309999999999998277e-01 7.531763333810292949e+00
9.539999999999999591e-01 8.146321627331710502e+00
9.770000000000000906e-01 8.823646247661390163e+00
1.000000000000000000e+00 9.567071256544961599e+00
